COVID-19 Vaccines _EudraCT Results;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Time run: 07/07/2022 09:25:54;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
This report refers to all trials on COVID-19 Vaccines that NCAs have uploaded in EudraCT. Trials for which information cannot be shared are marked in yellow and are here anonymised, leaving only information on the EU/EEA countries were the trial is planned to be run. Those are trials for which an authorisation from the National Competent Authority and or the Ethics Committee is awaited, or they are approved phase 1 trials conducted solely in adults. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A.2 EudraCT Number;A.1 NCA;N. NCA Decision;N. NCA Decision Date;N. IEC Opinion of Application;N. IEC Opinion Date;P. Trial Status;P. Global Trial End;F.4.1 Planned Number of Subjects in Member State;F.4.2.1 Planned Number of Subjects in the EEA;F.4.2.2 Planned Number of Subjects in the Whole Clinical Trial;F.1.1 Age Range <18 yrs;F.1.2 Adults (18-64 years);F.1.3 Elderly (>= 65 years);F.3.3.3 Pregnant Women;A.3 Full Title of the Trial;B.1.1 Sponsor Name of Organisation;A.4.1 Sponsor Protocol Code;B.3.1 and B.3.2 Sponsor Status;E.1.1 Medical Condition to be Investigated;E.7.1 Human Pharmacology (phase I);E.7.1.1 First in Human;E.7.1.2 Bioequivalence Study;E.7.1.3 Other;E.7.2 Therapeutic Exploratory (Phase II);E.7.3 Therapeutic Confirmatory (Phase III);E.7.4 Therapeutic Use (phase IV);F.2.1 Population Female;F.2.2 Population Male;A.5.1 ISRCTN Number;A.5.2 US NCT Number;D.3.1 Product Name;D.3.2 Product Code;A.5.3 WHO UTRN;A.5.4 Other Identifier;D.2.1.1.1 Trade Name;D.3.8 Name of Each Active Substance (INN);D.3.9.3 Other Descriptive Name;D.1.2 and D.1.3 Category
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Vaxzevria;Chimpanzee Adenovirus encoding the SARS-CoV-2 Spike glycoprotein (ChAdOx1-S);COVID-19 vaccine AstraZeneca (ChAdOx1 nCoV-19);Test
2021-002966-41;France - ANSM;Authorised;8/13/21;Favourable;8/3/21;;;150;0;;Yes;No;No;No;Anti-Covid-19 vaccine protection in immunocompromised children (1-15 years) with acute leukemia and their siblings (≥ 12 years). Phase I-II trial evaluating safety and post-vaccination humoral and cellular immunogenicity / PACIFIC STUDY;Assistance Publique – Hôpitaux de Paris / DRCI;APHP210639;Non-Commercial;- Children aged 1-15 years with LA undergoing chemotherapy or whose last chemotherapy session date is less than or equal to 12 months. - Siblings of children with LA (living in the same household > 50% of the time): 12-15 years old.;No;No;No;No;Yes;No;No;Yes;Yes;;;;;;;COMIRNATY®;COVID-19 mRNA vaccine (nucleoside-modified);COVID-19 mRNA vaccine (nucleoside-modified);Test
;Norway - NOMA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Germany - PEI;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Belgium - FPS Health-DGM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Poland - Office for Medicinal Products;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Spain - AEMPS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Germany - PEI;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Ireland - HPRA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Lithuania - SMCA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Norway - NOMA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Spain - AEMPS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021-004550-33;France - ANSM;Authorised;11/15/21;Favourable;9/21/21;;;300;0;;No;Yes;Yes;No;Immunogenicity and reactogenicity following a booster dose of COVID-19 mRNA vaccine (Pfizer-BioNtech) and two adjuvanted sub-unit vaccines (SP/GSK) administered in adults who received 2 doses of Pfizer-BioNTech mRNA vaccine as a primary vaccination: A randomized, single-blinded multicenter clinical trial;Assistance publique Hopitaux de Paris/ DRCI;APHP211184;Non-Commercial;COVID-19;No;No;No;No;No;Yes;No;Yes;Yes;;;Vaccin SP/GSK CoV2 preS dTM-AS03 adjuvanted vaccine, strain D614;549;;;;CoV2 preS dTM-AS03 adjuvanted vaccine (D614);Recombinant COVID19 Vaccine E;Test
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Vaccin SP/GSK, CoV2 preS dTM-AS03 adjuvanted vaccine, strain B.1.351;549;;;;CoV2 preS dTM-AS03 adjuvanted vaccine (B.1.351);Recombinant COVID19 Vaccine C;Test
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;COMIRNATY, concentrate for dispersion for injection, COVID-19 mRNA Vaccine (nucleoside modified);Comirnaty;COVID-19 mRNA vaccine (nucleoside-modified);Test
;Spain - AEMPS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Germany - PEI;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Ireland - HPRA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Norway - NOMA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Spain - AEMPS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Sweden - MPA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021-005043-71;Netherlands - Competent Authority;Authorised;10/8/21;Favourable;11/24/21;;;60;400;400;Yes;No;No;No;A Phase 2, Comparative Randomised Trial to Evaluate the impact of reduced COVID-19 mRNA vaccination regimens on immunological responses and reactogenicity in paediatric subjects with and without prior SARS-CoV-2 infection;University Medical Center Utrecht;EU-COVPT-1;Non-Commercial;Healthy volunteers (paediatric subjects) with or without prior SARS-CoV-2 infection;No;No;No;No;Yes;No;No;Yes;Yes;;;;;;;Comirnaty;;;Test
2021-005094-28;Austria - BASG;Authorised;10/21/21;Favourable;10/21/21;;;5000;0;;No;Yes;Yes;Yes;Population-based prospective, clinical study on efficacy and safety of a booster COVID-19 vaccination;Medical University of Vienna, Department for Internal Medicine III, Division of Rheumatology;VAC3_COVID-19_antibody_study_V1;Non-Commercial;SARS-CoV-2 infection prevention;No;No;No;No;Yes;No;No;Yes;Yes;;;Comirnaty;BNT162B2;;;Comirnaty concentrate for dispersion for injection;COVID-19 mRNA Vaccine;COVID-19 mRNA vaccine (nucleoside-modified);Test
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Influvac Tetra;J07BB02;;;inactivated quadrivalent influenza vaccine (surface antigen);A/Cambodia/e0826360/2020 (H3N2)-like strain;A/Cambodia/e0826360/2020 (H3N2)-like strain (A/Cambodia/e0826360/2020 IVR-224);Test
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;A/Victoria/2570/2019(H1N1)pdm09-like strain;A/Victoria/2570/2019 (H1N1)pdm09-like strain (A/Victoria/2570/2019, IVR-215);Test
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;B/Phuket/3073/2013-like strain;B/PHUKET/3073/2013-LIKE VIRUS (B/PHUKET/3073/2013, WILD TYPE);Test
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;B/Washington/02/2019-like strain;B/Washington/02/2019 - like virus (B/Washington/02/2019, wild type);Test
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Covid-19 Vaccine Moderna dispersion for injection;COVID-19 mRNA Vaccine;COVID-19 mRNA vaccine Moderna (CX-024414);Test
;Germany - PEI;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Poland - Office for Medicinal Products;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Germany - PEI;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021-005226-26;Spain - AEMPS;Authorised;11/15/21;Favourable;11/5/21;;;602;0;;No;Yes;Yes;No;A Phase IIb, double-blind, randomized, active controlled, multi-centre, non-inferiority trial followed by a Phase III, single arm, open label trial, to assess immunogenicity and safety of a booster vaccination with a recombinant protein RBD fusion dimer candidate (PHH-1V) against SARS-CoV-2, in adults fully vaccinated against COVID-19;HIPRA SCIENTIFIC;HIPRA-HH-2;Commercial;SARS-CoV-2;No;No;No;No;Yes;No;No;Yes;Yes;;;PHH-1V;PHH-1V;;;;PHH-1V;PHH-1V;Test
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Comirnaty;Tozinameran;;Comparator
2021-005509-28;Netherlands - Competent Authority;Authorised;2/10/22;Favourable;2/1/22;;;600;0;;No;Yes;Yes;No;Anti-COVID19 VaccinaTion AKS-452X BOOSTER Study (ACT-BOOSTER study) ;Akston Biosciences Corporation;901452-CT-21-001;Commercial;COVID-19;No;No;No;No;Yes;No;No;Yes;Yes;;;AKS-452X;;;;;AKS-452X;COVID-19 vaccine;Test
2022-000035-23;Netherlands - Competent Authority;Authorised;2/2/22;Favourable;4/11/22;;;100;150;150;No;Yes;No;No;OPEN-LABEL PHASE 3 CLINICAL STUDY TO INVESTIGATE SAFETY AND IMMUNOGENICITY OF A SINGLE VLA2001 BOOSTER VACCINATION IN VOLUNTEERS AGED ≥18 YEARS, AFTER NATURAL SARS-COV-2 INFECTION OR RECEIPT OF NATIONALLY ROLLED OUT mRNA COVID-19 VACCINES.;Valneva Austria GmbH;VLA2001-307;Commercial;Coronavirus disease (COVID-19) is an infectious disease caused by a newly discovered coronavirus. Most people infected with the COVID-19 virus will experience mild to moderate respiratory illness and recover without requiring special treatment. Older people, and those with underlying medical problems like cardiovascular disease, diabetes, chronic respiratory disease, and cancer are more likely to develop serious illness.;No;No;No;No;No;Yes;No;Yes;Yes;;;VLA2001;VLA2001;;;;Alum;ALUMINIUM HYDROXIDE;Test
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;CpG-1018;CpG 1018;Test
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;SARS-CoV-2 virus, beta-propiolactone inactivated;SARS-CoV-2 virus, beta-propiolactone inactivated;Test
;Italy - Italian Medicines Agency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Portugal - INFARMED;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Spain - AEMPS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2022-000785-18;Spain - AEMPS;Authorised;5/9/22;Favourable;5/6/22;;;350;400;400;No;Yes;Yes;No;A Phase III, open label, single arm, multi-center, trial to assess the immunogenicity and safety of an additional dose vaccination with a recombinant protein RBD fusion heterodimer candidate (PHH-1V) against SARS-CoV-2, in adults with pre-existing immunosupressive conditions vaccinated against COVID-19.;HIPRA SCIENTIFIC;HIPRA-HH-4;Commercial;SARS-CoV-2 infection;No;No;No;No;No;Yes;No;Yes;Yes;;;PHH-1V;PHH-1V;;;;SARS-CoV-2 virus, variants B.1.351-B.1.1.7, spike protein, receptor binding domain fusion heterodimer;PHH-1V;Test
2022-000795-19;Spain - AEMPS;Authorised;3/10/22;Favourable;3/9/22;;;273;0;;No;Yes;No;No;A PHASE IIB, DOUBLE-BLIND, RANDOMIZED, ACTIVE CONTROLLED, MULTI-CENTER, NON-INFERIORITY TRIAL TO ASSESS IMMUNOGENICITY AND SAFETY OF A BOOSTER VACCINATION WITH A RECOMBINANT PROTEIN RBD FUSION DIMER CANDIDATE (PHH-1V) AGAINST SARS-COV-2, IN ADULTS FULLY VACCINATED WITH ADENOVIRUS VACCINE AGAINST COVID-19;HIPRA SCIENTIFIC;HIPRA-HH-10;Commercial;SARS-COV-2;No;No;No;No;Yes;No;No;Yes;Yes;;;PHH-1V;PHH-1V;;;;SARS-CoV-2 virus, variants B.1.351-B.1.1.7, spike protein, receptor binding domain fusion heterodimer;PHH-1V;Test
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Comirnaty;Tozinameran;-;Comparator
2021-002174-52;France - ANSM;Authorised;5/19/21;Favourable;5/11/21;;;400;0;;No;Yes;Yes;Yes;French Essai multicentrique randomisé en ouvert comparant l’efficacité immunologique d’un schéma vaccinal combinant deux vaccins ARNm Covid19 (Pfizer-BioNTech et Moderna) à celle d’une vaccination homologue de chaque vaccin ARNm Covid19 : essai de non infériorité;Assistance Publique -Hopitaux de Paris;APHP210605;Non-Commercial;;No;No;No;No;No;Yes;No;Yes;Yes;;;COMIRNATY;;;;COMIRNATY;;COVID-19 mRNA vaccine (nucleoside-modified);Test
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;COVID-19 vaccine Moderna;;;;COVID-19 vaccine Moderna;;COVID-19 mRNA vaccine Moderna (CX-024414);Test
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"More information on publicly available data of EudraCT trials can be seen in EudraCT FAQs https://eudract.ema.europa.eu/docs/guidance/EudraCT%20FAQ_for%20publication.pdf)

";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
